Generation,Average Fitness,Best Fitness,Standard Deviation,Average Hamming Distance
309,56.84400000000001,61.92,5.983246998077274,2.0129636363636356
310,56.93599999999998,61.92,6.005795660383821,1.9914686868686866
311,57.07439999999999,62.0,5.972059265446578,1.9149353535353528
312,57.15680000000001,62.0,5.8984474922038395,1.9090222222222217
313,57.16320000000002,62.0,5.952964277387553,1.9115151515151518
314,57.12319999999999,62.0,5.956482834834926,1.9163454545454548
315,57.02559999999998,62.0,6.029190939617337,1.9355737373737363
316,57.136799999999994,62.0,6.034917379062027,1.9084686868686873
317,57.1408,62.16,5.937362914747385,1.920347474747474
318,57.16400000000001,62.16,6.015244160980873,1.914450505050506
319,57.14159999999998,62.16,5.9454301263968174,1.9343676767676772
320,57.287199999999984,62.16,6.03190857394241,1.8992848484848484
321,57.18640000000003,62.16,5.921931224284105,1.9203232323232324
322,57.28719999999998,62.24,6.023665232195219,1.8777434343434347
323,57.24799999999998,62.24,5.991386682868678,1.8963818181818177
324,57.40799999999999,62.24,5.902074068175934,1.8583090909090907
325,57.39039999999999,62.24,5.934457505311634,1.849800000000001
326,57.46959999999997,62.24,5.939492647227338,1.810014141414141
327,57.4344,62.32,5.874476039841419,1.8250848484848483
328,57.428000000000004,62.32,5.951405491435503,1.837208080808081
329,57.35199999999998,62.32,6.008641093200882,1.870929292929292
330,57.52160000000001,62.32,5.995693078989978,1.8040060606060606
331,57.396800000000006,62.32,5.8960787166805995,1.8432747474747475
332,57.39199999999999,62.32,5.998227909095234,1.8428848484848475
333,57.530400000000014,62.32,6.111128419493894,1.8202585858585858
334,57.548799999999964,62.32,5.974896826253988,1.8124949494949494
335,57.44559999999999,62.32,5.905048157927228,1.8296121212121204
336,57.446399999999976,62.32,6.022229736803434,1.8311373737373737
337,57.416,62.32,5.929544475994569,1.834694949494949
338,57.4136,62.32,5.932347304233596,1.8443212121212123
339,57.40479999999998,62.4,6.084978935906303,1.845937373737374
340,57.31359999999997,62.4,6.027365052605153,1.866256565656565
341,57.4632,62.4,5.994070162639875,1.8381434343434344
342,57.52799999999999,62.4,6.005292480883817,1.8136161616161612
343,57.53039999999999,62.4,5.933364215288878,1.7976363636363637
344,57.629599999999975,62.4,5.990612177069253,1.7594606060606057
345,57.62800000000002,62.4,5.920589562086052,1.759513131313131
346,57.59520000000002,62.4,5.919982521394353,1.7627010101010108
347,57.6224,62.4,5.961734693010864,1.7440101010101015
348,57.61199999999999,62.48,5.895687961212665,1.749668686868686
349,57.56399999999999,62.48,5.973436434595676,1.7780101010101008
350,57.49840000000001,62.48,5.979588754716572,1.8047595959595955
351,57.377599999999966,62.48,6.0429662601412595,1.8283999999999987
352,57.51439999999998,62.56,6.064695663209863,1.793812121212121
353,57.70320000000001,62.56,6.0137291387654015,1.7472424242424238
354,57.66880000000001,62.56,5.990650006081545,1.753305050505051
355,57.67039999999997,62.72,5.904754806988002,1.7470929292929298
356,57.746400000000015,62.72,5.946574432296338,1.7239878787878786
357,57.77040000000001,62.72,5.954185486259289,1.7057898989898994
358,57.85119999999998,62.72,5.894549333007989,1.6629595959595957
