Gen,AvgFit,BestFit 
577,148.69200000000004,188.08
578,148.2048,188.08
579,148.1232,187.52
580,147.93120000000002,187.52
581,147.67680000000004,188.64
582,147.7424,188.64
583,148.2288,188.64
584,148.11119999999997,188.64
585,147.85760000000002,188.64
586,148.12560000000002,188.64
587,148.3728,188.64
588,148.60480000000004,188.64
589,148.57760000000002,188.64
590,148.6976,188.64
591,148.0968,188.64
592,148.70960000000002,188.64
593,149.3128,188.64
594,148.73039999999997,188.64
595,148.6848,188.64
596,149.2056,188.64
597,149.81120000000007,188.64
598,148.75520000000003,188.64
599,148.49359999999996,188.64
600,148.12479999999996,188.64
601,148.80399999999995,188.64
602,148.95039999999997,188.64
603,148.89359999999996,188.64
604,149.02399999999997,188.64
605,149.3216,188.64
606,148.8464,188.64
607,149.15680000000003,188.64
608,148.78080000000003,188.64
609,149.0872,188.64
610,148.57200000000003,188.64
611,148.03999999999996,188.64
612,148.5104,188.64
613,147.91840000000005,189.2
614,148.51119999999997,189.2
615,149.54799999999994,189.2
616,149.27919999999997,189.2
617,149.65919999999997,189.2
618,149.3352,189.2
619,149.28960000000006,189.2
620,149.40879999999996,189.2
621,149.23839999999993,189.2
622,149.40399999999994,189.2
623,149.37359999999998,189.2
624,149.49759999999998,189.2
625,149.64079999999996,189.2
626,149.98480000000012,189.2
627,149.69040000000004,189.2
628,149.64,189.2
629,149.41679999999997,189.2
630,150.1512000000001,189.2
631,149.364,189.2
632,149.26320000000004,189.2
633,149.48879999999997,189.2
634,148.896,189.2
635,148.39679999999996,189.2
636,149.0191999999999,189.2
637,149.77120000000008,189.2
638,149.1888,189.2
639,149.34639999999993,189.2
640,149.49599999999998,189.2
641,149.29919999999993,189.2
642,148.99840000000003,189.2
643,149.07760000000005,189.2
644,149.27679999999998,189.2
645,148.89519999999996,189.2
646,148.57200000000003,189.2
647,149.61679999999996,189.76
648,149.0648,189.2
649,149.17040000000006,189.2
650,148.73040000000003,189.2
651,149.1016,189.2
652,149.05120000000002,189.2
653,149.1600000000001,189.2
654,149.51760000000002,189.2
655,148.73519999999996,189.2
656,148.70960000000002,189.2
657,148.49439999999998,189.2
658,148.93919999999997,189.2
659,148.732,189.2
660,149.39440000000005,189.76
661,148.7032,189.76
662,148.7816,189.76
663,148.96320000000003,189.76
664,148.69279999999998,189.76
665,149.07120000000003,189.76
666,149.6624,189.76
667,149.9248,189.76
668,149.49040000000002,189.76
669,148.8408,189.76
670,150.18400000000005,189.76
671,150.7744,189.76
672,150.48080000000002,189.76
673,149.93679999999998,189.76
674,150.12479999999996,189.76
675,150.12320000000003,189.76
676,150.47039999999996,190.32
677,150.74559999999997,190.32
678,150.5208,189.76
